index|lemma|human_readable_pos|definition|synset_key_name|example|new_sentence|v__human
305|recommend|verb|express a good opinion of|commend.v.04|Supt. clarence s. taylor had recommended roger i. vermeersch for the post.|After trying the dish herself, the food critic couldn't help but recommend the restaurant to all her followers.|1
517|pay|verb|be worth it|pay.v.07|It pays to go through the trouble|It pays to invest in a reliable car.|1
176|attitude|noun|a theatrical pose created for effect|attitude.n.03|the actor struck just the right attitude|The prima ballerina struck an elegant attitude on stage to mesmerize the packed audience.|1
438|sure|adjective|reliable in operation or effect|certain.s.06|a sure way to distinguish the two|Using a calculator gives you a sure way to get the correct answer every time.|1
156|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|The pianist's exquisite technique shone through during the concerto, clearly demonstrating their mastery of the instrument.|1
320|condition|noun|information that should be kept in mind when making a decision|circumstance.n.03|His religious beliefs provide him with plausible explanations for many conditions which cause him great concern, and his religious faith makes possible fortitude, equanimity, and consolation, enabling him to endure colossal misfortune, fear, frustration, uncertainty, suffering, evil, and danger.|Before accepting the job offer, make sure you are aware of all the conditions and that they are acceptable to you.|1
384|try|verb|take a sample of|sample.v.01|Try these new crackers|Can I try a slice of that cake?|1
470|hour|noun|clock time|hour.n.02|the hour is getting late|Can you please remind me what hour our meeting with the investors is scheduled for?|1
434|union|noun|the act of pairing a male and female for reproductive purposes|coupling.n.03|There is general agreement also that sex union between husbands and wives as an expression of mutual affection without relation to procreation is right''.|During the reproductive behavior, the union of the male and female is necessary for successful fertilization.|1
475|cost|noun|the property of having material worth (often indicated by the amount of money something would bring if sold)|monetary_value.n.01|he couldn't calculate the cost of the collection|The cost of the vintage car was way beyond our budget.|1
252|government|noun|(government) the system or form by which a community or other political unit is governed|government.n.03|tyrannical government|The local government has adopted a more democratic way of decision-making.|0
442|cent|noun|a coin worth one-hundredth of the value of the basic unit|penny.n.02|There i was a retired wobbly and structural iron worker who'd never gouged a cent off a fellow worker in my thirty years in the movement.|"She found a penny on the sidewalk and exclaimed ""Look, a cent!"""|1
292|recommend|verb|express a good opinion of|commend.v.04|Supt. clarence s. taylor had recommended roger i. vermeersch for the post.|After trying the apple pie, I would highly recommend it to anyone who wants a delicious dessert.|1
512|pay|verb|bring in|yield.v.10|How much does this savings certificate pay annually?|This property investment pays a steady rental income to its owners.|1
183|attitude|noun|a theatrical pose created for effect|attitude.n.03|the actor struck just the right attitude|The ballet dancers practiced their attitudes tirelessly to achieve perfection on stage.|1
163|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|The pianist's technique was impeccable because of years of daily practice and dedication.|1
328|condition|noun|an assumption on which rests the validity or effect of something else|condition.n.02|This is what we mean when we say this demand must be accepted without condition.|The success of the project is dependent on the condition that we can secure the required funding.|1
356|try|verb|put to the test, as for its quality, or give experimental use to|test.v.01|This approach has been tried with good results|We should try this new workout plan to see if it improves our overall strength and endurance.|1
450|hour|noun|clock time|hour.n.02|the hour is getting late|I arrived fashionably late because I lost track of time and forgot that the hour was getting late.|1
436|union|noun|the act of pairing a male and female for reproductive purposes|coupling.n.03|There is general agreement also that sex union between husbands and wives as an expression of mutual affection without relation to procreation is right''.|The union of the male and female penguins resulted in the birth of two healthy chicks.|1
495|cost|noun|value measured by what must be given or done or undergone to obtain something|price.n.03|the cost in human life was enormous|The cost of his success was countless sleepless nights and paralyzing anxiety.|1
296|recommend|verb|express a good opinion of|commend.v.04|Supt. clarence s. taylor had recommended roger i. vermeersch for the post.|The professor recommended the book to his students because he found it to be incredibly insightful and informative.|1
408|try|verb|put on trial or hear a case and sit as the judge at the trial of|judge.v.05|The football star was tried for the murder of his wife|The judge will try the defendant next week.|1
316|condition|noun|information that should be kept in mind when making a decision|circumstance.n.03|His religious beliefs provide him with plausible explanations for many conditions which cause him great concern, and his religious faith makes possible fortitude, equanimity, and consolation, enabling him to endure colossal misfortune, fear, frustration, uncertainty, suffering, evil, and danger.|The doctor provided her with all of the important conditions she needed to weigh before making a decision about her treatment options.|1
565|group|noun|(chemistry) two or more atoms bound together as a single unit and forming part of a molecule|group.n.02|(3) for anionics, these micelles appear to be roughly spherical assemblages in which the hydrocarbon tails come together so that the polar groups (the ionized ends) face outward towards the aqueous continuous phase.|The functional group in this chemical structure is responsible for its unique properties.|1
265|government|noun|the act of governing; exercising authority|government.n.02|he had considerable experience of government|Effective government requires collaboration and consensus-building among leaders.|1
613|entitle|verb|give a title to|entitle.v.02|Last october he gave a public speech in washington, d. c. entitled `` are women here to stay''?|"The latest novel by David Mitchell is beautifully entitled ""Utopia Avenue""."|1
182|attitude|noun|a theatrical pose created for effect|attitude.n.03|the actor struck just the right attitude|She practiced a particular attitude for the climactic scene in the play.|1
643|compare|verb|be comparable|compare.v.02|This car does not compare with our line of Mercedes|The quality of their products does not compare with that of our company's.|1
455|hour|noun|clock time|hour.n.02|the hour is getting late|I'm scheduled to meet with my boss in an hour.|0
685|reduce|verb|make smaller|reduce.v.09|reduce an image|I need to reduce the size of the image to send it as an email attachment.|1
493|cost|noun|value measured by what must be given or done or undergone to obtain something|price.n.03|the cost in human life was enormous|The cost of becoming a successful business owner is years of hard work and perseverance.|1
447|cent|noun|a coin worth one-hundredth of the value of the basic unit|penny.n.02|There i was a retired wobbly and structural iron worker who'd never gouged a cent off a fellow worker in my thirty years in the movement.|I found a cent on the sidewalk and decided to donate it to charity.|1
548|money|noun|wealth reckoned in terms of money|money.n.02|all his money is in real estate|His family may not be very outwardly expressive, but he knew when they made large money.|1
637|last|adverb|the item at the end|last.r.02|last, I'll discuss family values|He should pay his bills first and last, to avoid having late charges.|0
161|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|The Olympic Gold medallist showcased amazing shooting technique which was developed through years of consistent practice and dedication.|1
652|aid|verb|improve the condition of|help.v.02|Arm, shoulder, chest, upper and lower back strength will be aided with the horse kick.|Extra vitamins may aid in boosting the immune system.|1
629|company|noun|small military unit; usually two or three platoons|company.n.02|He looked out of the tent at the company street.|The sergeant led his company into the battlefield.|1
433|union|noun|the act of pairing a male and female for reproductive purposes|coupling.n.03|There is general agreement also that sex union between husbands and wives as an expression of mutual affection without relation to procreation is right''.|The union of the two animals was not successful in producing offspring.|1
598|understand|verb|be understanding of|sympathize.v.02|You don't need to explain--I understand!|I understand what you've been through and I'm here for you.|1
522|pay|verb|cancel or discharge a debt|pay_up.v.01|pay up, please!|He finally paid up and cleared all his bank debts.|1
628|value|noun|relative darkness or lightness of a color; -Joe Hing Lowe|value.n.04|I establish the colors and principal values by organizing the painting into three values--dark, medium...and light|She adjusted the value of the color to enhance its brightness.|1
302|recommend|verb|express a good opinion of|commend.v.04|Supt. clarence s. taylor had recommended roger i. vermeersch for the post.|The judge highly recommends this particular lawyer for his efficiency and depth of knowledge in the law.|1
357|try|verb|put to the test, as for its quality, or give experimental use to|test.v.01|This approach has been tried with good results|I am willing to try this new recipe to see how it turns out.|1
309|condition|noun|a mode of being or form of existence of a person or thing|condition.n.03|the human condition|Despite tremendous advancements in technology, people's search for the definitive theories on the human condition remains an elusive and ambiguous subject to understand.|1
573|group|noun|(chemistry) two or more atoms bound together as a single unit and forming part of a molecule|group.n.02|(3) for anionics, these micelles appear to be roughly spherical assemblages in which the hydrocarbon tails come together so that the polar groups (the ionized ends) face outward towards the aqueous continuous phase.|The functional group of the chemical compound determines its reactivity.|1
260|government|noun|the act of governing; exercising authority|government.n.02|he had considerable experience of government|The success of a government depends on effective governance and decision-making.|1
614|entitle|verb|give a title to|entitle.v.02|Last october he gave a public speech in washington, d. c. entitled `` are women here to stay''?|"The author entitled his new book ""My Journey Through Life""."|1
171|attitude|noun|a theatrical pose created for effect|attitude.n.03|the actor struck just the right attitude|She struck an elegant attitude with her hands on her hips and head tilted back.|1
646|compare|verb|be comparable|compare.v.02|This car does not compare with our line of Mercedes|This brand's smartphone camera cannot compare with the features of their competitor's phone.|1
466|hour|noun|clock time|hour.n.02|the hour is getting late|I'll meet you in the lobby at 11 o'clock hour.|1
688|reduce|verb|bring to humbler or weaker state or condition|reduce.v.03|He reduced the population to slavery|He managed to reduce the once mighty and rich nation to ruins.|1
480|cost|noun|the property of having material worth (often indicated by the amount of money something would bring if sold)|monetary_value.n.01|he couldn't calculate the cost of the collection|The cost of the house was within our budget.|1
552|money|noun|wealth reckoned in terms of money|money.n.02|all his money is in real estate|His exorbitant spending habits notwithstanding, his net worth was rarely directly related to the nominal amount of money in his bank accounts.|1
142|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|The key to achieving a perfect neoclassical orchestra sound is a great discipline and technique when playing the music.|1
666|aid|verb|improve the condition of|help.v.02|Arm, shoulder, chest, upper and lower back strength will be aided with the horse kick.|Several vaccinations have aided in the cure and prevention of many serious and life-threatening diseases.|1
632|company|noun|a band of people associated temporarily in some activity|party.n.03|the company of cooks walked into the kitchen|The company of hikers reached the summit just before sunset.|1
597|understand|verb|perceive (an idea or situation) mentally|understand.v.02|I don't understand the idea|I'm trying to make sense of this concept, but I simply can't understand it.|1
627|value|noun|relative darkness or lightness of a color; -Joe Hing Lowe|value.n.04|I establish the colors and principal values by organizing the painting into three values--dark, medium...and light|The artist emphasized the value of blue by blending different tones to create depth in the painting.|1
653|aid|verb|improve the condition of|help.v.02|Arm, shoulder, chest, upper and lower back strength will be aided with the horse kick.|Stretching can aid in improving flexibility.|1
515|pay|verb|do or give something to somebody in return|pay.v.05|Does she pay you for the work you are doing?|I need to pay back the money I borrowed from my roommate.|1
273|government|noun|the act of governing; exercising authority|government.n.02|he had considerable experience of government|The success of any form of government depends on its ability in governing and maintaining law and order within society.|1
557|contract|noun|(contract bridge) the highest bid becomes the contract setting the number of tricks that the bidder must make|contract.n.02|Cox argued that the bill is `` probably unconstitutional'' since, he said, it would impair contracts.|Jill confidently bid 4 spades, making it the contract of the game where she must make at least 10 tricks.|1
159|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|Her piano techniques had improved after daily practice and studies.|1
612|entitle|verb|give a title to|entitle.v.02|Last october he gave a public speech in washington, d. c. entitled `` are women here to stay''?|"The author's latest book is entitled ""The Art of Argumentation""."|1
642|compare|verb|consider or describe as similar, equal, or analogous|compare.v.03|We can compare the Han dynasty to the Romans|I would compare my relationship with Sarah to the calm before a storm, things looking smooth, and beautiful ahead but knowing agony is the feet forwards very subtly.|1
631|company|noun|the state of being with someone|company.n.03|he missed their company|After months of being full we all longed for company and companionship.|1
377|try|verb|take a sample of|sample.v.01|Try these new crackers|Before committing, you should always try clothes or shoes first.|0
502|cost|noun|value measured by what must be given or done or undergone to obtain something|price.n.03|the cost in human life was enormous|I think twice before buying anything expensive, knowing the huge cost it may entail.|1
287|recommend|verb|express a good opinion of|commend.v.04|Supt. clarence s. taylor had recommended roger i. vermeersch for the post.|The chef recommended the fish taco to anyone who asked for his opinion on the menu.|1
692|reduce|verb|lower in grade or rank or force somebody into an undignified situation|reduce.v.05|She reduced her niece to a servant|Being caught cheating on that important academic paper will certainly reduce your chances of being accepted into that college.|0
594|understand|verb|perceive (an idea or situation) mentally|understand.v.02|I don't understand the idea|After reading the instructions multiple times, I finally understand how to properly assemble the product.|1
545|money|noun|wealth reckoned in terms of money|money.n.02|all his money is in real estate|She inherited a lot of money from her grandmother's trust fund.|1
574|group|noun|(chemistry) two or more atoms bound together as a single unit and forming part of a molecule|group.n.02|(3) for anionics, these micelles appear to be roughly spherical assemblages in which the hydrocarbon tails come together so that the polar groups (the ionized ends) face outward towards the aqueous continuous phase.|A chlorine molecule consists of two chlorine atoms joined together as a group.|1
448|hour|noun|clock time|hour.n.02|the hour is getting late|The big announcement will take place in just one hour.|0
321|condition|noun|information that should be kept in mind when making a decision|circumstance.n.03|His religious beliefs provide him with plausible explanations for many conditions which cause him great concern, and his religious faith makes possible fortitude, equanimity, and consolation, enabling him to endure colossal misfortune, fear, frustration, uncertainty, suffering, evil, and danger.|You should consider your financial condition before making a big purchase.|0
654|aid|verb|improve the condition of|help.v.02|Arm, shoulder, chest, upper and lower back strength will be aided with the horse kick.|Glasses can aid in improving a person's vision.|1
516|pay|verb|do or give something to somebody in return|pay.v.05|Does she pay you for the work you are doing?|I will pay you a compliment for your hard work.|0
258|government|noun|the act of governing; exercising authority|government.n.02|he had considerable experience of government|The government's methods of social control reflect its approach to the exercise of power.|0
165|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|Caitlin spent years perfecting her knitting technique, resulting in smooth and faultless rows during every project.|1
645|compare|verb|be comparable|compare.v.02|This car does not compare with our line of Mercedes|The quality of the local farmer's market just didn't compare to the abundance of fresh produce in the larger city markets.|1
378|try|verb|take a sample of|sample.v.01|Try these new crackers|Can you please try this new lipstick?|0
473|cost|noun|the property of having material worth (often indicated by the amount of money something would bring if sold)|monetary_value.n.01|he couldn't calculate the cost of the collection|The cost of vintage cars increases every year.|1
289|recommend|verb|express a good opinion of|commend.v.04|Supt. clarence s. taylor had recommended roger i. vermeersch for the post.|I highly recommend Tony's Italian restaurant for anyone looking to satisfy their craving for delicious pasta dishes.|1
683|reduce|verb|narrow or limit|reduce.v.11|reduce the influx of foreigners|We need to reduce the amount of single-use plastics to limit its damage to the environment.|1
605|understand|verb|make sense of a language|understand.v.03|She understands French|I don't understand what is being said as he was speaking in Korean.|1
541|money|noun|wealth reckoned in terms of money|money.n.02|all his money is in real estate|She inherited a large sum of money after her successful entrepreneur father passed away.|1
588|group|noun|(chemistry) two or more atoms bound together as a single unit and forming part of a molecule|group.n.02|(3) for anionics, these micelles appear to be roughly spherical assemblages in which the hydrocarbon tails come together so that the polar groups (the ionized ends) face outward towards the aqueous continuous phase.|Organic chemistry deals mostly with functional groups attached to organic molecules.|1
469|hour|noun|clock time|hour.n.02|the hour is getting late|I arrived on time even though my watch shows an hour ahead.|1
326|condition|noun|an assumption on which rests the validity or effect of something else|condition.n.02|This is what we mean when we say this demand must be accepted without condition.|The success of the project is dependent upon certain conditions being met.|1
655|aid|verb|improve the condition of|help.v.02|Arm, shoulder, chest, upper and lower back strength will be aided with the horse kick.|Taking vitamins and minerals can aid in strengthening the immune system.|1
510|pay|verb|dedicate|give.v.10|pay attention to|I always pay proper attention to my work.|1
269|government|noun|the act of governing; exercising authority|government.n.02|he had considerable experience of government|Efficient and transparent government is essential for a prosperous society.|1
151|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|The new dance instructor emphasized the importance of a strong technique foundation to her students.|1
644|compare|verb|be comparable|compare.v.02|This car does not compare with our line of Mercedes|The movie's special effects may be good, but they don't compare to those of the blockbuster hit.|1
420|try|verb|put on trial or hear a case and sit as the judge at the trial of|judge.v.05|The football star was tried for the murder of his wife|The jury overlooked the evidence, leaving the judge to prioritize lost strands―eight key phrases Ned Sescoe tried the next morning он Sydney-Smith as number.|1
488|cost|noun|the property of having material worth (often indicated by the amount of money something would bring if sold)|monetary_value.n.01|he couldn't calculate the cost of the collection|I was shocked by the high cost of the luxury car.|1
295|recommend|verb|express a good opinion of|commend.v.04|Supt. clarence s. taylor had recommended roger i. vermeersch for the post.|I would highly recommend this hotel to anyone looking for a comfortable and convenient stay.|1
670|reduce|verb|lessen and make more modest|reduce.v.08|reduce one's standard of living|To save money, Susan had to reduce her grocery budget.|1
600|understand|verb|be understanding of|sympathize.v.02|You don't need to explain--I understand!|I understand what you're going through and I'm here to support you.|1
538|money|noun|wealth reckoned in terms of money|money.n.02|all his money is in real estate|His family's money comes from the stock market.|1
578|group|noun|(chemistry) two or more atoms bound together as a single unit and forming part of a molecule|group.n.02|(3) for anionics, these micelles appear to be roughly spherical assemblages in which the hydrocarbon tails come together so that the polar groups (the ionized ends) face outward towards the aqueous continuous phase.|The functional group of the molecule determines its reactivity.|1
459|hour|noun|clock time|hour.n.02|the hour is getting late|She arrived at the bakery just before the end of business hour.|1
329|condition|noun|an assumption on which rests the validity or effect of something else|condition.n.02|This is what we mean when we say this demand must be accepted without condition.|The success of her plan was contingent on the condition that they would all be home before midnight.|1
658|aid|verb|improve the condition of|help.v.02|Arm, shoulder, chest, upper and lower back strength will be aided with the horse kick.|Yoga and meditation can aid in reducing anxiety and stress levels.|1
508|pay|verb|dedicate|give.v.10|pay attention to|I try to pay attention to the needs of my friends and family.|1
261|government|noun|the act of governing; exercising authority|government.n.02|he had considerable experience of government|Effective government requires competent leadership and constant attention to citizen's needs.|1
145|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|Ken's painting technique is impeccable due to years of diligent practice and constant development.|1
647|compare|verb|be comparable|compare.v.02|This car does not compare with our line of Mercedes|The quality of their products cannot compare to our company's standards.|1
414|try|verb|put on trial or hear a case and sit as the judge at the trial of|judge.v.05|The football star was tried for the murder of his wife|The jurors are rested and ready to try the high-profile case.|1
491|cost|noun|value measured by what must be given or done or undergone to obtain something|price.n.03|the cost in human life was enormous|Despite the high cost in time and stress, she was determined to finish her degree.|1
300|recommend|verb|express a good opinion of|commend.v.04|Supt. clarence s. taylor had recommended roger i. vermeersch for the post.|The teacher highly recommended Maria for the leadership role in the school's upcoming project.|1
671|reduce|verb|lessen and make more modest|reduce.v.08|reduce one's standard of living|She had to reduce her expenses after losing her job.|1
607|understand|verb|believe to be the case|understand.v.04|I understand you have no previous experience?|I understand that you're not interested, but could you please hear me out?|0
535|money|noun|wealth reckoned in terms of money|money.n.02|all his money is in real estate|His money came from smart investments in the stock market.|1
587|group|noun|(chemistry) two or more atoms bound together as a single unit and forming part of a molecule|group.n.02|(3) for anionics, these micelles appear to be roughly spherical assemblages in which the hydrocarbon tails come together so that the polar groups (the ionized ends) face outward towards the aqueous continuous phase.|In a water molecule, there are two hydrogen atoms and one oxygen atom that form a group within the molecule.|1
454|hour|noun|clock time|hour.n.02|the hour is getting late|He arrived exactly on the hour.|1
324|condition|noun|an assumption on which rests the validity or effect of something else|condition.n.02|This is what we mean when we say this demand must be accepted without condition.|The success of the project is dependent on one condition, that all team members work exceptionally effectively.|1
667|aid|verb|improve the condition of|help.v.02|Arm, shoulder, chest, upper and lower back strength will be aided with the horse kick.|Regular exercise and healthy diet can aid in reducing the risk of heart disease.|1
523|pay|verb|convey, as of a compliment, regards, attention, etc.; bestow|give.v.05|pay attention|Whenever he performs on stage, the audience just pays him when the show ends.|0
270|government|noun|the act of governing; exercising authority|government.n.02|he had considerable experience of government|Early in his career, he began to take an active interest in government.|1
164|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|With years of training and practice, Freddie demonstrated a perfect handling technique when it came to playing the guitar.|1
390|try|verb|take a sample of|sample.v.01|Try these new crackers|Can you please try this new dressing to see if you like it?|1
478|cost|noun|the property of having material worth (often indicated by the amount of money something would bring if sold)|monetary_value.n.01|he couldn't calculate the cost of the collection|The estimated cost for repairing my car was higher than its market value.|1
294|recommend|verb|express a good opinion of|commend.v.04|Supt. clarence s. taylor had recommended roger i. vermeersch for the post.|My boss recommended me for the promotion because of my hard work and dedication.|1
695|reduce|verb|simplify the form of a mathematical equation of expression by substituting one term for another|reduce.v.04|When solving an equation that involves division as well as other steps, do all the division steps first to reduce those parts of the equation to their numerical value.|I can reduce the number of operations required to solve this mathematical equation by using the method of substituting important results to transform the given equations into different expressions.|1
606|understand|verb|believe to be the case|understand.v.04|I understand you have no previous experience?|I understand that the meeting has been rescheduled for tomorrow.|1
532|money|noun|wealth reckoned in terms of money|money.n.02|all his money is in real estate|Her net worth is mostly tied up in stocks, but she has a significant amount of money in savings accounts as well.|1
586|group|noun|(chemistry) two or more atoms bound together as a single unit and forming part of a molecule|group.n.02|(3) for anionics, these micelles appear to be roughly spherical assemblages in which the hydrocarbon tails come together so that the polar groups (the ionized ends) face outward towards the aqueous continuous phase.|The functional group of the organic compound determines its unique chemical properties.|1
471|hour|noun|clock time|hour.n.02|the hour is getting late|I usually wake up at nine o'clock in the morning, so by this hour, I already had breakfast.|1
312|condition|noun|a mode of being or form of existence of a person or thing|condition.n.03|the human condition|The film deeply explores the human condition and the mysteries of existence.|1
660|aid|verb|improve the condition of|help.v.02|Arm, shoulder, chest, upper and lower back strength will be aided with the horse kick.|The medication will aid in healing the severe burn marks.|1
527|pay|verb|bear (a cost or penalty), in recompense for some action|pay.v.09|You'll pay for this!|He knew he would have to pay for breaking the law.|1
8477|wave|noun|a hairdo that creates undulations in the hair|wave.n.06|He was perhaps thirty-two, nicely set up, with light brown hair that had a pronounced wave.|Her long brown locks spilled down her back in loose waves.|1
3539|object|noun|the focus of cognitions or feelings|object.n.04|objects of thought|Beth's object of desire was always the nice guy types.|1
4174|true|adjective|devoted (sometimes fanatically) to a cause or concept or truth|true.s.03|true believers bonded together against all who disagreed with them|The group of conspiracy theorists were true believers in their belief that the moon landing was a hoax.|1
8887|hungry|adjective|(usually followed by `for') extremely desirous|athirst.s.01|hungry for recognition|The junior scientist was hungry for success in her career, undertaking numerous projects to make it to the top.|1
7916|spectacular|adjective|characteristic of spectacles or drama|spectacular.s.02|spectacular dives from the cliff|The circus show included spectacular fire-eating stunts and acrobatic performances.|1
6194|predict|verb|indicate by signs|bode.v.01|"The theory predicts a linear dependence of **f on **f, where |j is the experimentally determined curie-weiss constant."|The darkening sky and strong winds predict an approaching storm.|1
4833|passing|noun|euphemistic expressions for death|passing.n.02|thousands mourned his passing|Following the passing of his grandmother, he has taken time off from work to grieve.|1
950|minimize|verb|represent as less significant or important|understate.v.01|(1) most of the realtors minimized their own understanding of and role in the racial issue, pleading that they only reflect the attitudes and intentions of their society.|The scientist tried to minimize the importance of the finding to avoid having it inaccurately portrayed in the media.|1
8227|attain|verb|reach a point in time, or a certain state or level|reach.v.02|It is often stated that the largest snakes require five years to attain maturity, but this apparently is an overestimation.|After years of dedicated practice, she was finally able to attain fluency in French.|0
1274|necessary|adjective|unavoidably determined by prior circumstances|necessary.s.02|the necessary consequences of one's actions|Overlooking safety regulations had necessary implications for the factory owner.|1
1639|avoid|verb|refrain from certain foods or beverages|keep_off.v.01|During Ramadan, Muslims avoid tobacco during the day|To maintain his plant-based diet, John avoids consuming dairy products.|1
6339|need|noun|a state of extreme poverty or destitution|indigence.n.01|a general state of need exists among the homeless|The recent economic recession pushed many families into a state of dire need, with some even going homeless.|1
5728|swing|verb|live in a lively, modern, and relaxed style|swing.v.09|The Woodstock generation attempted to swing freely|After retiring, they decided to move to a tropical paradise and fully swing into a laid-back lifestyle.|0
7644|return|noun|the act of going back to a prior location|return.n.05|they set out on their return to the base camp|I forgot my phone at the office, so I have to make a return to retrieve it.|1
3831|doubtful|adjective|fraught with uncertainty or doubt|doubtful.s.02|they were doubtful that the cord would hold|I am doubtful of the product's quality as it has low ratings and negative reviews.|1
6296|develop|verb|grow emotionally or mature|develop.v.14|The child developed beautifully in her new kindergarten|Simon developed emotionally within one month of his participation in therapy sessions.|1
6693|domain|noun|territory over which rule or control is exercised|domain.n.02|his domain extended into Europe|The Amazon forest is now considered partially the domain of Brazil.|1
5072|enemy|noun|any hostile group of people|enemy.n.03|he viewed lawyers as the real enemy|Her parents saw his new friends as the enemy.|1
6228|anchor|noun|a central cohesive source of support and stability|anchor.n.02|faith is his anchor|The love of my family has always been my anchor in difficult times.|1
2325|tie|verb|form a knot or bow in|tie.v.05|tie a necktie|I need someone to help me to tie my shoelaces.|1
2915|wear|verb|have on one's person|wear.v.02|He wore a red ribbon|I always wear my baby's name tag in crowded places.|1
7459|inner|adjective|located or occurring within or closer to a center|inner.a.02|an inner room|The hotel's inner garden was a peaceful oase in the middle of the bustling city.|1
8760|attempt|noun|the act of attacking|attack.n.05|they made an attempt on his life|The soldier's attempt successfully disrupted the enemy's front line.|1
3523|clear|adjective|allowing light to pass through|clear.a.04|clear water|The windshield on the car was clear, offering us a perfect view of the road.|1
8511|meet|verb|be in direct physical contact with; make contact|touch.v.05|An ordinary point will be any point of intersection a such that in every neighborhood of a in the c-plane, **f meets both the interior and the exterior of c.|The poles of the battery must meet the right terminals to get it to work.|1
2022|show|verb|take (someone) to their seats, as in theaters or auditoriums|usher.v.01|The usher showed us to our seats|The attendant showed us to our front row seats just before the show began.|1
8297|brother|noun|a male person who is a fellow member (of a fraternity or religion or other group)|brother.n.02|none of his brothers would betray him|He was always proud to claim Joe as his brother, because they were both members of the same veteran association.|1
8833|vapor|noun|the process of becoming a vapor|vaporization.n.02|This involves the application of a strong magnetic field to the radical vapor, which shifts the low-frequency spectra to a conveniently high microwave range, where they may be measured with optimum sensitivity.|The boiling water produces vapor which condenses on the glass of the cold window.|0
6691|cover|verb|protect by insurance|cover.v.14|The insurance won't cover this|I hope my new policy will cover all of the expenses of my car accident.|1
9243|feminine|adjective|of grammatical gender|feminine.a.02|Plus the fact that siddo not only had the normal (to earthmen) three genders of masculine, feminine, and neuter, but the two extra of inanimate and spiritual.|The French language has masculine and feminine nouns, with each gender having its articles.|1
2088|saving|noun|recovery or preservation from loss or danger|rescue.n.01|a surgeon's job is the saving of lives|The brave firefighter was able to make the saving of the kitten trapped in the burning building.|0
3444|glad|adjective|eagerly disposed to act or to be of service|glad.s.02|glad to help|He was glad to assist his new neighbor with her heavy grocery bags.|1
7448|extreme|adjective|beyond a norm in views or actions|extreme.s.03|extreme opinions|Her extreme ideas and strict demeanor often made people uncomfortable.|1
1893|let|verb|actively cause something to happen|let.v.02|I let it be known that I was not interested|Sarah let her employer know that she prefers not to work overtime.|1
5366|sailor|noun|a serviceman in the navy|bluejacket.n.01|Times square, when i ascended to it with my fellow subway travellers (all dressed as if for a huge wedding in a family of which we were all distant members), was nearly impassable, the sidewalks swarming with celebrants, with bundled up sailors and soldiers already hugging their girls and their rationed bottles of whiskey.|The sailor received a medal of honor for his bravery during the war at sea.|1
6486|limited|adjective|subject to limits or subjected to limits|circumscribed.s.01|The corporation has a limited, specific place in our society.|My internet data plan is limited, so I can't stream videos all day long.|1
6549|origin|noun|the point of intersection of coordinate axes; where the values of the coordinates are all zero|origin.n.04|In the c-plane we construct a set of rectangular cartesian coordinates u, v with the origin at q and such that both c and **f have finite slope at q.|Be sure to label the point of origin on your graph before analyzing your data.|1
5260|american|adjective|of or relating to or characteristic of the continents and islands of the Americas|american.a.02|the American hemisphere|The jaguar is a wild American cat found in Central and South America.|1
7646|return|noun|the income or profit arising from such transactions as the sale of land or other property|return.n.06|the average return was about 5%|She made a satisfactory deal on property last year, resulting in a significant return on her investment.|1
9175|ball|noun|a solid projectile that is shot by a musket|musket_ball.n.01|they had to carry a ramrod as well as powder and ball|The soldiers loaded their muskets with gunpowder and ball before getting into formation.|1
7098|wield|verb|handle effectively|wield.v.02|The burglar wielded an axe|The chef meticulously wielded his knives, creating an exquisite dish.|1
7992|battle|noun|an energetic attempt to achieve something|struggle.n.01|he fought a battle for recognition|The young athlete's final season was a difficult battle for the championship title.|1
5077|carry|verb|pass on a communication|carry.v.17|The news was carried to every village in the province|Can you carry this message to your supervisor please?|1
7529|vitality|noun|a healthy capacity for vigorous activity|energy.n.05|The host of novel applications of electronics to medical problems is far more thrilling because of their implication in matters concerning our health and vitality.|Regular exercise contributes to improving the levels of vitality, allowing people to maintain a healthy capacity for vigorous activity.|1
6877|impact|noun|influencing strongly|impingement.n.01|Her impact in the zing commercials had led to her being considered for an excellent part in an upcoming tv series, underwater western eye, a documentary type show to be sponsored by oatnut grits.|The teacher's impact on her students' lives not only improved their academics but also motivated them to become better individuals.|0
